ccode1,cowName1,ccode2,cowName2,signDay,signMonth,signYear,EIFDay,EIFMonth,EIFYear,type,category1,category2,category3,span,renewType,renewYears,terminated,durationActual,endYearEstimate,asymmetry,categoryConf,UNTS,fullText,sourceType,source,factivaConf,factivaSign,factivaEIF,DCAid
560,SAF,816,DRV,9,5,2006,9,5,2006,general,DCA,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1661
560,SAF,820,MAL,12,11,1996,12,11,1996,general,DCA,,,,,,0,,2010,1,high,,N,treaty,South Africa Treaty Series,,,,DCADv1.0-1662
560,SAF,830,SIN,10,11,1997,,,,general,DCA,,,,,,-88,,2003,1,high,,N,treaty,South Africa Treaty Series,,,,DCADv1.0-1663
560,SAF,830,SIN,23,10,1998,,,,sector,TREX,,,,,,-88,,2004,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1664
560,SAF,850,INS,17,3,2008,17,3,2008,general,DCA,,,5,-56,5,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1665
591,SEY,696,UAE,22,11,2009,,,,general,DCA,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1666
600,MOR,694,QAT,5,1,2010,,,,sector,TREX,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1667
600,MOR,696,UAE,2,5,2006,,,,sector,TREX,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1668
615,ALG,616,TUN,26,10,1983,26,10,1983,general,DCA,,,,,,0,,2010,1,low,,N,treaty,"Tunisian Republic, Ministry of Foreign Affairs",,,,DCADv1.0-1669
615,ALG,616,TUN,1,1,2001,,,,general,DCA,,,,,,-88,,2007,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1670
615,ALG,640,TUR,2,10,2003,,,,general,DCA,,,,,,-88,,2009,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1671
615,ALG,640,TUR,6,10,2009,29,10,2009,sector,TREX,,,5,-66,-66,0,,2010,1,high,,NE,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1672
615,ALG,816,DRV,2,12,2008,,,,sector,TREX,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1673
616,TUN,640,TUR,28,3,1990,28,3,1990,general,DCA,,,,,,0,,2010,1,high,,N,treaty,"Tunisian Republic, Ministry of Foreign Affairs",,,,DCADv1.0-1674
616,TUN,640,TUR,13,3,1999,,,,general,DCA,DIC,PROCUREMENT,,,,-88,,2005,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1675
616,TUN,651,EGY,15,11,2001,,,,sector,TREX,,,,,,-88,,2007,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1676
620,LIB,625,SUD,9,7,1985,,,,general,DCA,TREX,PROCUREMENT,,,,-88,,1991,1,atypical,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1677
625,SUD,630,IRN,,,2008,,,,general,DCA,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",5,1,,DCADv1.0-1678
625,SUD,652,SYR,5,5,1998,,,,general,DCA,TREX,,,,,-88,,2004,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1679
625,SUD,710,CHN,,,2007,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",1,-99,,DCADv1.0-1680
625,SUD,770,PAK,6,1,2005,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1681
625,SUD,820,MAL,17,2,2004,,,,general,DCA,,,,,,-88,,2010,1,med,,N,treaty,"Ministry of Foreign Affairs, Malaysia",,,,DCADv1.0-1682
630,IRN,645,IRQ,8,6,2008,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1683
630,IRN,652,SYR,,,1997,,,,general,DCA,DIC,,,,,-88,,2003,0,low,,,factiva,"Wires, newspapers, transcripts",2,-99,,DCADv1.0-1684
630,IRN,652,SYR,14,3,2007,,,,general,DCA,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1685
630,IRN,652,SYR,12,12,2009,,,,sector,COMMISSION,,,,,,-88,,2010,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1686
630,IRN,660,LEB,,,2008,,,,sector,PROCUREMENT,DIC,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",2,-99,,DCADv1.0-1687
630,IRN,690,KUW,2,10,2002,,,,general,DCA,,,,,,-88,,2008,0,med,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1688
630,IRN,694,QAT,24,2,2010,,,,general,DCA,TREX,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1689
630,IRN,698,OMA,16,11,1998,,,,sector,TREX,DCA,,,,,-88,,2004,0,med,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1690
630,IRN,698,OMA,4,8,2010,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1691
